endpoint,cutoff_pub_year,method,temporal_case,n,mae,rmse,bias
IC50,2021,identity_bias,new_dst_assay,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,identity_bias,all_future,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,deming_bias_fallback,new_dst_assay,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,deming_bias_fallback,all_future,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,robust_trimmed_bias_fallback,new_dst_assay,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,robust_trimmed_bias_fallback,all_future,100879,0.6529520214818685,1.055025516778656,-0.06020058851266256
IC50,2021,temporal_gauge,new_dst_assay,100879,0.6024052294231657,0.9172589375589822,-0.06818581854156931
IC50,2021,temporal_gauge,all_future,100879,0.6024052294231657,0.9172589375589822,-0.06818581854156931
KI,2020,identity_bias,new_dst_assay,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,identity_bias,all_future,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,deming_bias_fallback,new_dst_assay,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,deming_bias_fallback,all_future,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,robust_trimmed_bias_fallback,new_dst_assay,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,robust_trimmed_bias_fallback,all_future,30766,0.3468614803729038,0.7351022748491375,0.03208878852139844
KI,2020,temporal_gauge,new_dst_assay,30766,0.34187188791941103,0.6033973204199585,0.04299633321571677
KI,2020,temporal_gauge,all_future,30766,0.34187188791941103,0.6033973204199585,0.04299633321571677
KD,2021,identity_bias,new_dst_assay,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,identity_bias,all_future,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,deming_bias_fallback,new_dst_assay,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,deming_bias_fallback,all_future,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,robust_trimmed_bias_fallback,new_dst_assay,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,robust_trimmed_bias_fallback,all_future,2957,0.5702304464855532,0.9688528872920349,-0.07664405509602804
KD,2021,temporal_gauge,new_dst_assay,2957,0.5321272019168695,0.8118872650491985,-0.051282378556370245
KD,2021,temporal_gauge,all_future,2957,0.5321272019168695,0.8118872650491985,-0.051282378556370245
EC50,2021,identity_bias,new_dst_assay,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,identity_bias,all_future,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,deming_bias_fallback,new_dst_assay,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,deming_bias_fallback,all_future,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,robust_trimmed_bias_fallback,new_dst_assay,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,robust_trimmed_bias_fallback,all_future,14518,0.6177886184717362,1.0390129727143644,0.038301466516150184
EC50,2021,temporal_gauge,new_dst_assay,14518,0.5552691627309011,0.8864852650654114,-0.008770647040284747
EC50,2021,temporal_gauge,all_future,14518,0.5552691627309011,0.8864852650654114,-0.008770647040284747
