endpoint,no_gauge_mean_mae,no_gauge_std_mae,n_runs,full_primary_mean_mae,full_primary_std_mae,delta_no_gauge_minus_full
EC50,0.16863244589466692,0.028568512676442465,5,0.167919571104386,0.0297795613325955,0.0007128747902809263
IC50,0.19283364836184774,0.011804532698997255,5,0.189998065313821,0.0121101838250502,0.002835583048026752
KD,0.2347924968560223,0.008908974602911048,5,0.2286757008185704,0.0059007028447556,0.00611679603745191
KI,0.18187909613733572,0.04111497306311992,5,0.1779253274493831,0.0428000431221346,0.003953768687952608
