endpoint,seed,feature,level_type,level,n,raw_mae,primary_mae,baseline_mae,graph_mae,delta_baseline_minus_primary,raw_to_primary_gap_closed,primary_shift_abs,baseline_shift_abs
IC50,13,assay_type_class,same_vs_different,different,1612,0.6653585806253832,0.40258546859300653,0.40781632159884845,0.41204172151574636,0.005230853005841918,0.39493458066685067,0.471228928610784,0.4307002462405988
IC50,13,assay_type_class,same_vs_different,same,49348,0.36272450291655767,0.17551242655631857,0.1804147917086844,0.1775940521411717,0.004902365152365834,0.5161274599728544,0.29559153560990126,0.2816675018867836
IC50,13,assay_type_class,transition,adme->adme,94,0.37746291500817425,0.17526258521292298,0.1794803452617489,0.17782248143294951,0.00421776004882593,0.5356826373019253,0.3064239577592851,0.3001423599617233
IC50,13,assay_type_class,transition,adme->binding,178,0.7420540398685767,0.5802639302144748,0.568185181594967,0.5882141294731169,-0.012078748619507751,0.21803009075020485,0.4645478021162851,0.3483014788326315
IC50,13,assay_type_class,transition,binding->adme,178,0.7420540398685767,0.5800287420796697,0.5434314634415529,0.57404967989557,-0.03659727863811679,0.21834703280855777,0.45442917632671675,0.34912138974962575
IC50,13,assay_type_class,transition,binding->binding,48052,0.3585389083953988,0.1724108647012639,0.17747087341539575,0.17460375185749177,0.005060008714131842,0.519129275333409,0.29238573671115026,0.2779960194952777
IC50,13,assay_type_class,transition,binding->functional,625,0.6432994136584393,0.36107006603685493,0.3702793038905782,0.36764240392926806,0.009209237853723296,0.4387215993506788,0.4702870901296002,0.446437653812475
IC50,13,assay_type_class,transition,binding->toxicity,3,0.7104211169758546,0.3177571452502332,0.29517608165879583,0.49371359200662795,-0.022581063591437356,0.5527200168220324,0.759512525426139,0.7490740508516698
IC50,13,assay_type_class,transition,functional->binding,625,0.6432994136584393,0.34329606375465227,0.36164318982014027,0.3593432208126793,0.018347126065487995,0.4663510389317318,0.4759356287945596,0.4584124579468422
IC50,13,assay_type_class,transition,functional->functional,1202,0.5288981944258027,0.2995221897388213,0.298176022819432,0.2971185420562798,-0.001346166919389269,0.43368649601083065,0.42290168619288093,0.4269964829330366
IC50,13,assay_type_class,transition,toxicity->binding,3,0.7104211169758546,0.4178590493753657,0.3983535955558981,0.49371359200662795,-0.01950545381946761,0.4118149934026135,0.791797951283753,0.7896614433583844
IC50,13,bao_format_first,same_vs_different,different,11872,0.6473519661104705,0.3292546949996308,0.3465016027651979,0.3349597180216016,0.017246907765567143,0.4913822584367597,0.5083998184395722,0.47550140196244106
IC50,13,bao_format_first,same_vs_different,same,39088,0.28875676064855965,0.1381816225449632,0.1393481893069247,0.139466863686898,0.0011665667619615017,0.5214601305451636,0.23819969012697995,0.228941466331118
IC50,13,bao_format_first,transition,BAO_0000019->BAO_0000019,5728,0.19458675938813402,0.11378170162024505,0.11456545107384795,0.11378618001470019,0.0007837494536029055,0.41526493386279445,0.15605376544490865,0.15581386445509662
IC50,13,bao_format_first,transition,BAO_0000019->BAO_0000219,1119,0.5608550821643246,0.33013773648445016,0.3467308630376167,0.33462225522997896,0.016593126553166526,0.41136713032810973,0.43623277505119895,0.41683406387524924
IC50,13,bao_format_first,transition,BAO_0000019->BAO_0000220,5,2.5842717100100407,0.3188370316535236,0.3170590364726461,0.3190345866736212,-0.0017779951808775118,0.8766240289600644,2.577195874341467,2.5734961329323442
IC50,13,bao_format_first,transition,BAO_0000019->BAO_0000221,65,0.8258656328648319,0.32460320762042794,0.31915714560999403,0.3181783286718356,-0.005446062010433905,0.6069539708361309,0.6858439507204857,0.7002022757544144
IC50,13,bao_format_first,transition,BAO_0000019->BAO_0000224,57,1.7882930965414836,1.75846102077694,1.7658997779653198,1.7764518310599722,0.00743875718837983,0.016681871569172935,0.534109435915542,0.12061563504421115
