route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
classic,ours_rerun_same_split,assay_mean,micro,20,0.6094110582064223,0.06487726817089376,0.8088904682297713,0.06738461168894878,-0.05373378128605506,24633.1,1.0
classic,ours_rerun_same_split,assay_mean,macro_target,20,0.6772995223628746,0.07997240071301569,0.791200643974777,0.07650918726761965,0.008978526660444611,24633.1,243.6
classic,ours_rerun_same_split,assay_mean,macro_assay_pair,20,0.7440098944077558,0.08117234415477559,0.7838804382406703,0.07684079874149342,-0.14124085323468977,24633.1,9280.1
classic,ours_rerun_same_split,identity,micro,20,0.5391670092232087,0.3771868488507906,1.079328107683229,0.410229298473947,0.0,24633.1,1.0
classic,ours_rerun_same_split,identity,macro_target,20,0.5890798714832955,0.2602424499774772,0.7109450771170991,0.2737551664613372,0.0,24633.1,243.6
classic,ours_rerun_same_split,identity,macro_assay_pair,20,0.6476383925933733,0.350436350580296,0.6707715778247422,0.35397556510712197,1.6823035390931503e-18,24633.1,9280.1
classic,ours_rerun_same_split,identity_bias,micro,20,0.20992177044925947,0.0403606871391159,0.46599456922168436,0.048659670781868655,-1.4762408520481855e-18,24633.1,1.0
classic,ours_rerun_same_split,identity_bias,macro_target,20,0.27834024707593735,0.07486627688214066,0.35970663159259925,0.07930536502509532,-1.3417047623773007e-18,24633.1,243.6
classic,ours_rerun_same_split,identity_bias,macro_assay_pair,20,0.361640004569047,0.11177466734995686,0.3844481174807447,0.11442370364760723,-1.755586176476167e-18,24633.1,9280.1
classic,ours_rerun_same_split,pair_affine,micro,20,0.22233499042436242,0.0441726017231791,0.4609062983789946,0.06344700412053593,-0.019092632072504633,24633.1,1.0
classic,ours_rerun_same_split,pair_affine,macro_target,20,0.3305813072878944,0.10552581076281156,0.42012736480262636,0.11122421199455723,0.013288147061680643,24633.1,243.6
classic,ours_rerun_same_split,pair_affine,macro_assay_pair,20,0.40452237330138396,0.04299969028905803,0.426776060238282,0.04570970566462654,-0.02986296416801514,24633.1,9280.1
classic,ours_rerun_same_split,pair_affine_bias_fallback,micro,20,0.19547223586390913,0.0331608803696988,0.44743424180869146,0.05853251845195967,-0.0009534149970763149,24633.1,1.0
classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_target,20,0.2555643910825959,0.06942234603101234,0.33873556650477177,0.0774032532336982,-0.0008990173248639717,24633.1,243.6
classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_assay_pair,20,0.34987780686981595,0.10801515022943486,0.37224894484777354,0.11010344717397955,-0.00470814507172239,24633.1,9280.1
classic,ours_rerun_same_split,pair_affine_shrink_k10,micro,20,0.19548816641088473,0.034452513864528654,0.44220429089635066,0.052679208817323214,-0.0006088096223067149,24633.1,1.0
classic,ours_rerun_same_split,pair_affine_shrink_k10,macro_target,20,0.2554192710806572,0.06837425094982195,0.33442341371551176,0.07422281675685011,-0.00038470482060354923,24633.1,243.6
classic,ours_rerun_same_split,pair_affine_shrink_k10,macro_assay_pair,20,0.34882291291635054,0.10811968252694719,0.37054696427222755,0.11005185842184949,-0.0024529739106165377,24633.1,9280.1
classic,ours_rerun_same_split,pair_isotonic,micro,20,0.22727413553948944,0.04477073423753239,0.4690325219561016,0.06347694179055346,-0.017975482963652055,24633.1,1.0
classic,ours_rerun_same_split,pair_isotonic,macro_target,20,0.3388122320507983,0.10304451933887755,0.4346386411263368,0.10974336550971169,0.01245222619891135,24633.1,243.6
classic,ours_rerun_same_split,pair_isotonic,macro_assay_pair,20,0.4092003904128583,0.044181910441019656,0.43575290728012267,0.04776577071725857,-0.02950470912774496,24633.1,9280.1
classic,ours_rerun_same_split,target_pair_affine,micro,20,0.22233499042436242,0.0441726017231791,0.4609062983789946,0.06344700412053593,-0.019092632072504633,24633.1,1.0
classic,ours_rerun_same_split,target_pair_affine,macro_target,20,0.3305813072878944,0.10552581076281156,0.42012736480262636,0.11122421199455723,0.013288147061680643,24633.1,243.6
classic,ours_rerun_same_split,target_pair_affine,macro_assay_pair,20,0.40452237330138396,0.04299969028905803,0.426776060238282,0.04570970566462654,-0.02986296416801514,24633.1,9280.1
direct_competitor,ours_rerun_same_split,calibration_grid_global,micro,20,0.1961670641459467,0.035715540021591434,0.44400406338614157,0.0572923209735363,-0.0004248279903527151,24633.1,1.0
direct_competitor,ours_rerun_same_split,calibration_grid_global,macro_target,20,0.2632789443993665,0.07609910494017436,0.346048830456477,0.0825396666060871,0.004333054073778935,24633.1,243.6
direct_competitor,ours_rerun_same_split,calibration_grid_global,macro_assay_pair,20,0.35363026728265007,0.10542727182043551,0.3758023674545948,0.10798907396053858,-0.0026783204534440762,24633.1,9280.1
direct_competitor,ours_rerun_same_split,calibration_grid_selector,micro,20,0.19632337729256627,0.03571899154407295,0.4504905500091567,0.055808358465491495,-0.0003018021457923049,24633.1,1.0
direct_competitor,ours_rerun_same_split,calibration_grid_selector,macro_target,20,0.26984797618250733,0.08035667732317767,0.3539768714309014,0.0859090422080685,0.002458320078374305,24633.1,243.6
direct_competitor,ours_rerun_same_split,calibration_grid_selector,macro_assay_pair,20,0.35528801822614675,0.10339803663460526,0.3773975713082586,0.10584837766372407,-0.0017007914171845897,24633.1,9280.1
direct_competitor,ours_rerun_same_split,calibration_grid_selector_macro_assay_pair,micro,20,0.19653461072806816,0.035280572612190905,0.4494855369267553,0.05388203286737823,-0.0005730345495424,24633.1,1.0
