dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,both_assays_seen,5,948.0,0.41794157085518596,0.155455590712361,0.7523810531733224,-0.007963022316036955
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,cold_assay_pair,5,676.6,0.5471032631830158,0.16002806792327184,0.8793975435849163,-0.010432852377333952
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,cold_dst_assay,5,46.0,0.32052277195011636,0.16129835153300254,0.4916336828203689,-0.015512827984823174
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,seen_assay_pair,5,336.6,0.13450663553463255,0.02110972642804308,0.3321442407175297,-0.0010250342568655366
BindingDB_Articles_202608,KI,pair_mean_bias_fallback,single_chain_target,5,1011.6,0.4144877148001786,0.14929790843341567,0.7440116272404009,-0.0077836259588100224
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,all,5,1013.2,0.4096662273589118,0.15103446475644772,0.7435785046850291,-0.008149339824694712
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,both_assays_seen,5,948.0,0.41308299035171536,0.1569950800120688,0.7524484200449999,-0.008354870273375304
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,cold_assay_pair,5,676.6,0.5471032631830158,0.16002806792327184,0.8793975435849163,-0.010432852377333952
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,cold_dst_assay,5,46.0,0.32052277195011636,0.16129835153300254,0.4916336828203689,-0.015512827984823174
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,seen_assay_pair,5,336.6,0.12151592819016548,0.021767168619165726,0.3329862664568659,-0.0018750830426363582
BindingDB_Articles_202608,KI,robust_trimmed_bias_fallback,single_chain_target,5,1011.6,0.40994357205470366,0.150698043562639,0.7440838244437711,-0.00815175672163746
