endpoint,seed,support_bucket,nominal_coverage,empirical_coverage,mean_interval_width,mean_abs_resid,n
IC50,13,00_zero,0.5,0.524953095684803,0.9004225157554764,0.6024916244455277,5330
IC50,13,00_zero,0.8,0.8116322701688555,1.8840820051842548,0.6024916244455277,5330
IC50,13,00_zero,0.9,0.9221388367729831,2.790018778890461,0.6024916244455277,5330
IC50,13,00_zero,0.95,0.9559099437148217,3.835208314819818,0.6024916244455277,5330
IC50,13,01_1-4,0.5,0.5576923076923077,0.49854443776199986,0.3966862033120759,2184
IC50,13,01_1-4,0.8,0.8232600732600732,1.4449746353327424,0.3966862033120759,2184
IC50,13,01_1-4,0.9,0.9267399267399268,2.342239931419538,0.3966862033120759,2184
IC50,13,01_1-4,0.95,0.9597069597069597,3.129640537230565,0.3966862033120759,2184
IC50,13,02_5-9,0.5,0.55,0.22024777386968264,0.22654944104991154,1200
IC50,13,02_5-9,0.8,0.8,0.7436882228416066,0.22654944104991154,1200
IC50,13,02_5-9,0.9,0.905,1.2068359623592073,0.22654944104991154,1200
IC50,13,02_5-9,0.95,0.9266666666666666,1.4729052900503399,0.22654944104991154,1200
IC50,13,03_10-29,0.5,0.5085194375516956,0.19955063618789293,0.2222104149121484,12090
IC50,13,03_10-29,0.8,0.7857733664185277,0.719400037673587,0.2222104149121484,12090
IC50,13,03_10-29,0.9,0.890074441687345,1.1505705416873615,0.2222104149121484,12090
IC50,13,03_10-29,0.95,0.9449131513647643,1.6357524405151898,0.2222104149121484,12090
IC50,13,04_30plus,0.5,0.5342552062607773,0.002792880836215872,0.07541214780465356,30156
IC50,13,04_30plus,0.8,0.8240151213688818,0.2205813959817157,0.07541214780465356,30156
IC50,13,04_30plus,0.9,0.9099681655391961,0.5235599009247143,0.07541214780465356,30156
IC50,13,04_30plus,0.95,0.9478379095370739,0.861788617886198,0.07541214780465356,30156
IC50,13,all,0.5,0.5898744113029827,0.10909665252437506,0.182695349314622,50960
IC50,13,all,0.8,0.8502158555729984,0.8100429954999981,0.182695349314622,50960
IC50,13,all,0.9,0.9300627943485086,1.4342981287945744,0.182695349314622,50960
IC50,13,all,0.95,0.9695251177394034,2.1355990885104394,0.182695349314622,50960
IC50,17,00_zero,0.5,0.5562057283646443,0.896519167981884,0.5853707033052558,6494
IC50,17,00_zero,0.8,0.8313828149060671,2.104719500141991,0.5853707033052558,6494
IC50,17,00_zero,0.9,0.9173082845703726,2.9177249335783912,0.5853707033052558,6494
IC50,17,00_zero,0.95,0.9567292885740684,3.7809551869110996,0.5853707033052558,6494
IC50,17,01_1-4,0.5,0.4489795918367347,0.34343045701370833,0.45223343809011474,2254
IC50,17,01_1-4,0.8,0.7577639751552795,1.259411708027529,0.45223343809011474,2254
IC50,17,01_1-4,0.9,0.8633540372670807,2.0012942923193417,0.45223343809011474,2254
IC50,17,01_1-4,0.95,0.9232475598935226,2.988914910039112,0.45223343809011474,2254
IC50,17,02_5-9,0.5,0.5338645418326693,0.19234217076456694,0.20539062346122136,1004
IC50,17,02_5-9,0.8,0.7699203187250996,0.6161217036272572,0.20539062346122136,1004
IC50,17,02_5-9,0.9,0.8675298804780877,0.9785828776479214,0.20539062346122136,1004
IC50,17,02_5-9,0.95,0.9272908366533864,1.354394990386516,0.20539062346122136,1004
IC50,17,03_10-29,0.5,0.48513986013986016,0.19695549856433736,0.22075618626672852,12584
