endpoint,one_sided_p,holm_adjusted_p
EC50,0.2135793270351845,0.5342373356633205
IC50,0.0055292130766932,0.0221168523067728
KD,0.3515051078095385,0.5342373356633205
KI,0.1780791118877735,0.5342373356633205
