endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
KI,31,no_data_validity_comment,54932,0.14228625953311563,0.1439247247644495,0.0016384652313338743
KI,31,no_potential_duplicate_flag,1934,0.3656560966693583,0.36288007312059023,-0.0027760235487680474
KI,31,publication_only,48784,0.16658887522796398,0.16832110777013415,0.00173223254217017
KI,31,target_confidence_9,56080,0.15548865138824966,0.15712434217079208,0.001635690782542415
KI,31,single_protein_target,56080,0.15548865138824966,0.15712434217079208,0.001635690782542415
KI,31,assay_n_ge_50,6646,0.07370979934672672,0.07373202880651365,2.2229459786929362e-05
KI,31,assay_n_ge_100,5404,0.07736486547004494,0.0773437585200329,-2.110695001203422e-05
KI,31,pair_support_ge_5,22122,0.14006769770374222,0.1447365436429506,0.0046688459392083825
KI,31,pair_support_ge_10,20008,0.13847553994094924,0.1435230813151287,0.005047541374179454
KI,31,pair_support_ge_20,12802,0.09974840804851162,0.10074689824856878,0.000998490200057156
KD,13,all,1486,0.2236239302394273,0.22800449050160604,0.004380560262178729
KD,13,activity_in_2_12,1486,0.2236239302394273,0.22800449050160604,0.004380560262178729
KD,13,no_data_validity_comment,1440,0.2212650163053659,0.22515931524881702,0.0038942989434511133
KD,13,no_potential_duplicate_flag,714,0.36867594864034975,0.3726436037125169,0.0039676550721671755
KD,13,publication_only,1038,0.30314605127684296,0.3090152538509749,0.0058692025741319265
KD,13,target_confidence_9,1486,0.2236239302394273,0.22800449050160604,0.004380560262178729
KD,13,single_protein_target,1486,0.2236239302394273,0.22800449050160604,0.004380560262178729
KD,13,assay_n_ge_50,680,0.12587096467901265,0.12587096467901682,4.163336342344337e-15
KD,13,assay_n_ge_100,402,2.7750052117993962e-15,9.739031029945651e-15,6.964025818146255e-15
KD,13,pair_support_ge_5,1414,0.20586168365592292,0.20931208481012414,0.003450401154201227
KD,13,pair_support_ge_10,1208,0.19256669835372936,0.1958602119492875,0.0032935135955581285
KD,13,pair_support_ge_20,792,0.14336933250835746,0.14189810491864602,-0.001471227589711438
KD,17,all,1490,0.22278404013313208,0.22608413693371912,0.0033000968005870435
KD,17,activity_in_2_12,1490,0.22278404013313208,0.22608413693371912,0.0033000968005870435
KD,17,no_data_validity_comment,1426,0.21497380164547567,0.2184062073042109,0.0034324056587352325
KD,17,no_potential_duplicate_flag,708,0.3535710389023391,0.35787431361338456,0.004303274711045468
KD,17,publication_only,1002,0.3116963803739685,0.31665650759555347,0.0049601272215849534
