endpoint,comparison,block_unit,delta_mean,ci_low,ci_high,p_le_zero,bootstrap_win_rate,n_blocks,n_splits,bootstrap_design
EC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,compound_target_key,-0.0003365835681597586,-0.0035285747452572114,0.0025497740131129256,0.601,0.399,5854,5,hierarchical_split_then_within_split_block
IC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,compound_target_key,0.0011341463084524116,0.0003943025593805247,0.0018456847606752092,0.002,0.998,61276,5,hierarchical_split_then_within_split_block
KD,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,compound_target_key,0.000311197506484445,-0.006277661718884701,0.007314096750209398,0.49,0.51,2160,5,hierarchical_split_then_within_split_block
KI,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,compound_target_key,0.0003372616969882304,-0.0015190536453911817,0.0028006133366309505,0.384,0.616,12254,5,hierarchical_split_then_within_split_block
